               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 114,             0.03891,            0.019652,           0.0039071,             0.61823,             0.56598,             0.57882,              0.2829,            0.042311,            0.015793,           0.0095455,            0.006271,            0.006271,            0.006271
                 115,            0.038884,            0.019571,           0.0040565,             0.61852,             0.56515,             0.57869,             0.28266,            0.042322,            0.015794,           0.0095583,            0.006238,            0.006238,            0.006238
                 116,            0.038685,            0.019577,           0.0039796,             0.62028,             0.56549,             0.57913,             0.28272,            0.042328,            0.015799,           0.0095695,            0.006205,            0.006205,            0.006205
                 117,            0.038036,            0.019447,           0.0035476,             0.61245,             0.57264,             0.57943,             0.28279,            0.042335,            0.015806,           0.0095822,            0.006172,            0.006172,            0.006172
                 118,            0.038431,            0.019654,           0.0037769,             0.61289,             0.57281,             0.57945,             0.28236,            0.042342,            0.015814,           0.0095966,            0.006139,            0.006139,            0.006139
                 119,            0.038382,             0.01977,           0.0037125,             0.61144,             0.57323,             0.57869,             0.28243,            0.042347,            0.015821,           0.0096109,            0.006106,            0.006106,            0.006106
                 120,             0.03806,            0.019503,           0.0039725,             0.61487,             0.57065,             0.57787,             0.28218,            0.042358,             0.01583,           0.0096252,            0.006073,            0.006073,            0.006073
                 121,            0.037799,            0.019261,           0.0035956,             0.61717,             0.57006,             0.57771,             0.28201,            0.042363,            0.015839,             0.00964,             0.00604,             0.00604,             0.00604
                 122,             0.03822,             0.01969,           0.0037525,             0.61615,             0.57169,             0.57749,             0.28198,            0.042368,            0.015849,           0.0096562,            0.006007,            0.006007,            0.006007
                 123,            0.037813,            0.019182,           0.0035651,             0.61772,             0.57271,             0.57765,             0.28206,            0.042376,            0.015858,           0.0096633,            0.005974,            0.005974,            0.005974
                 124,            0.038012,            0.019673,           0.0035694,             0.61653,              0.5726,              0.5772,             0.28185,            0.042387,            0.015865,           0.0096806,            0.005941,            0.005941,            0.005941
                 125,            0.037445,            0.019119,           0.0035272,             0.61617,             0.57336,             0.57677,             0.28186,            0.042398,            0.015875,           0.0096885,            0.005908,            0.005908,            0.005908
                 126,            0.037448,            0.019232,           0.0035851,             0.62646,              0.5665,             0.57672,             0.28167,            0.042407,            0.015882,           0.0096949,            0.005875,            0.005875,            0.005875
                 127,            0.037722,            0.019083,           0.0037151,             0.62746,             0.56428,             0.57626,             0.28159,            0.042419,             0.01589,            0.009706,            0.005842,            0.005842,            0.005842
                 128,            0.037434,            0.019277,           0.0037504,              0.6276,             0.56533,             0.57653,             0.28176,            0.042427,            0.015897,           0.0097172,            0.005809,            0.005809,            0.005809
                 129,            0.037551,            0.019228,           0.0035753,              0.6295,             0.56073,             0.57705,              0.2815,            0.042438,            0.015906,           0.0097268,            0.005776,            0.005776,            0.005776
                 130,            0.037498,            0.018981,           0.0037031,             0.62949,             0.55895,             0.57609,             0.28161,            0.042449,            0.015917,           0.0097411,            0.005743,            0.005743,            0.005743
                 131,            0.037178,            0.019102,           0.0034265,             0.62869,             0.55982,             0.57605,             0.28151,            0.042467,            0.015925,           0.0097586,             0.00571,             0.00571,             0.00571
                 132,            0.037091,            0.019112,           0.0035898,             0.63105,             0.55971,             0.57586,             0.28167,            0.042483,            0.015935,           0.0097787,            0.005677,            0.005677,            0.005677
                 133,            0.037016,            0.019069,           0.0035775,             0.63423,             0.55948,             0.57588,             0.28159,            0.042494,            0.015944,           0.0097991,            0.005644,            0.005644,            0.005644
                 134,            0.036869,            0.018825,           0.0033857,             0.63623,             0.55817,             0.57552,             0.28136,            0.042505,            0.015956,           0.0098137,            0.005611,            0.005611,            0.005611
                 135,             0.03642,            0.018801,           0.0033592,             0.63522,             0.55885,             0.57501,              0.2815,            0.042521,            0.015966,           0.0098355,            0.005578,            0.005578,            0.005578
                 136,            0.036767,             0.01861,           0.0034889,             0.63499,             0.55954,             0.57492,             0.28145,            0.042537,            0.015977,           0.0098528,            0.005545,            0.005545,            0.005545
                 137,            0.036712,            0.018783,           0.0034628,             0.63315,             0.56027,             0.57407,             0.28136,            0.042548,            0.015986,           0.0098735,            0.005512,            0.005512,            0.005512
                 138,            0.036792,             0.01898,           0.0033163,             0.63497,             0.56016,             0.57449,             0.28134,            0.042559,            0.015997,           0.0098945,            0.005479,            0.005479,            0.005479
                 139,             0.03655,            0.018647,           0.0034396,             0.63519,             0.55981,             0.57429,              0.2811,            0.042566,            0.016005,           0.0099111,            0.005446,            0.005446,            0.005446
                 140,            0.036651,            0.018608,           0.0035295,             0.63492,             0.56086,             0.57449,               0.281,            0.042584,            0.016016,           0.0099278,            0.005413,            0.005413,            0.005413
                 141,            0.036597,            0.018622,           0.0035037,             0.63388,             0.56142,             0.57448,             0.28106,            0.042598,            0.016028,           0.0099445,             0.00538,             0.00538,             0.00538
                 142,            0.035997,            0.018621,           0.0032186,             0.63218,             0.56187,              0.5741,             0.28106,            0.042613,            0.016038,           0.0099602,            0.005347,            0.005347,            0.005347
                 143,              0.0361,            0.018646,           0.0031657,             0.63902,             0.55957,             0.57536,             0.28126,            0.042631,            0.016049,           0.0099764,            0.005314,            0.005314,            0.005314
                 144,            0.036256,            0.018377,            0.003457,             0.63897,             0.55915,             0.57514,             0.28095,            0.042649,             0.01606,           0.0099967,            0.005281,            0.005281,            0.005281
                 145,             0.03614,            0.018609,           0.0033251,              0.6378,             0.55957,             0.57459,             0.28079,            0.042666,            0.016073,            0.010021,            0.005248,            0.005248,            0.005248
                 146,             0.03593,            0.018771,           0.0032059,             0.63554,             0.55911,             0.57431,             0.28051,            0.042678,            0.016084,            0.010042,            0.005215,            0.005215,            0.005215
                 147,            0.035839,            0.018463,           0.0031893,             0.63286,             0.56231,              0.5743,             0.28056,            0.042693,            0.016094,            0.010059,            0.005182,            0.005182,            0.005182
                 148,            0.035752,            0.018119,           0.0032085,             0.62954,             0.56381,             0.57424,             0.28065,            0.042712,            0.016109,            0.010073,            0.005149,            0.005149,            0.005149
                 149,            0.035788,            0.018379,           0.0031719,              0.6329,             0.56248,             0.57378,             0.28027,            0.042734,             0.01612,            0.010094,            0.005116,            0.005116,            0.005116
                 150,            0.035583,            0.018159,           0.0031789,              0.6329,             0.56146,             0.57231,             0.27988,            0.042753,            0.016131,            0.010116,            0.005083,            0.005083,            0.005083
                 151,            0.035595,            0.018686,            0.003131,             0.62599,             0.56478,             0.57228,              0.2799,             0.04277,            0.016142,            0.010137,             0.00505,             0.00505,             0.00505
                 152,            0.035518,             0.01819,           0.0032042,             0.62311,             0.56575,             0.57166,             0.27945,            0.042784,            0.016152,            0.010156,            0.005017,            0.005017,            0.005017
                 153,             0.03548,            0.018074,           0.0030853,             0.62221,             0.56691,             0.57178,              0.2792,            0.042802,            0.016165,            0.010171,            0.004984,            0.004984,            0.004984
                 154,             0.03538,            0.018243,           0.0031445,             0.62143,             0.56868,             0.57197,             0.27908,             0.04282,            0.016174,            0.010185,            0.004951,            0.004951,            0.004951
                 155,              0.0351,            0.017991,           0.0032074,              0.6198,             0.56891,              0.5718,             0.27905,            0.042838,            0.016186,            0.010204,            0.004918,            0.004918,            0.004918
                 156,            0.035055,            0.018369,           0.0029954,             0.61915,             0.56865,             0.57146,             0.27929,            0.042854,            0.016198,            0.010221,            0.004885,            0.004885,            0.004885
                 157,            0.034789,             0.01798,           0.0030247,             0.62257,             0.56756,             0.57157,             0.27916,            0.042879,            0.016209,            0.010241,            0.004852,            0.004852,            0.004852
